模型,地区,AA综合分,Text口碑分,Code口碑分,上下文,输入价,输出价,一句话
Claude Opus 4.6,海外,53,1500,1549,1M,5.0,25.0,代码/综合第一梯队
Gemini 3.1 Pro,海外,57,1493,1455,1M,2.0,12.0,推理/多模态第一梯队
GPT-5.4,海外,57,1484,1457,1M,2.5,15.0,通用/工具生态强
Claude Sonnet 4.6,海外,51,1463,1523,1M,3.0,15.0,速度与代码兼顾
Grok 4.20,海外,48,1491,1378,2.0M,2.0,6.0,超长上下文/聊天强
GLM-5,国内,50,1456,1445,203K,1.0,3.2,国内开源第一梯队
Kimi K2.5,国内,47,1454,1430,262K,0.6,3.0,代码+视觉能力强
MiniMax M2.7,国内,50,1406,1435,205K,0.3,1.2,"Agent/办公强, 便宜"
Qwen3.5-397B-A17B,国内,45,1450,1387,262K,0.39,2.34,多模态开源均衡
DeepSeek V3.2,国内,42,1425,1369,164K,0.26,0.38,超高性价比
